bg_households_sum,bg_aggregate_income_sum,GEOID
1125.173017507724,65934686.61174047,48029-4048
1560.110853432282,146110948.77275744,48029-1003
630.8320101630206,97050387.05605918,48029-4018
347.0,23900900.0,48029-1010
235.7968875840272,15822363.611685999,48029-4014
1307.8719851576996,100656692.82622139,48029-1008
353.45880861850446,21181046.768060837,48029-4075
479.9870604856983,54951393.98608483,48029-4004
2178.481391581803,103092226.02745943,48029-4124
2326.285731705868,155748933.15062276,48029-4026
1490.5567688013668,121182762.54728922,48029-4016
1030.5231053604437,53263669.6857671,48029-4027
884.674403645869,53273592.559087984,48029-4025
1177.3484992647477,68980873.90177698,48029-4032
1157.9770970893833,76828633.53913502,48029-4031
559.7242888402626,41427611.59737418,48029-4013
597.5220084774326,43883331.96012065,48029-4002
1268.0,76255800.0,48029-4028
1394.88885111895,89317729.43324658,48029-4029
902.2331537330011,60199933.9743554,48029-4003
546.6054453161053,16154203.230272265,48029-4012
790.3945546838947,48380896.76972774,48029-4011
275.6088335016355,14788183.948099561,48029-4030
2366.2604307470488,202645710.54113725,48029-4001
1551.9778517810623,129811586.46584156,48029-4017
1586.3895561357701,85655555.92689295,48029-2143
1216.4388398277038,180553588.35887897,48029-2095
1758.922216573462,136218027.19877985,48029-2164
1147.1908396946565,97421848.90760726,48029-2168
2617.717557251908,169867629.82363778,48029-2096
759.8904585651098,82321579.00188868,48029-2166
1547.615533500237,156616135.5303393,48029-2163
2134.8917345750874,158922660.65192083,48029-3109
375.1082654249127,36308839.34807916,48029-3172
1457.08228980322,179802818.24686942,48029-2174
424.8036363636364,44399311.63636363,48029-3035
624.8604555334236,85439376.44658923,48029-2169
1211.6305170239596,82527112.10592686,48029-2173
3419.574533825172,262882382.06821412,48029-2091
244.85928853754942,17236666.00790514,48029-2172
702.5354355383779,35546413.55519755,48029-2110
2952.9471244787496,183655502.3672909,48029-2149
2272.1963636363635,174876588.36363637,48029-2175
2759.748657330603,254191517.0342672,48029-3146
1250.0,67346900.0,48029-3113
556.6213099630996,38989703.41328413,48029-3149
841.3584621183566,106472554.08970976,48029-3143
3278.0,292385900.0,48029-3036
620.0998869204674,90311952.50659631,48029-3029
2372.2355447352406,173544422.73280585,48029-3095
631.218479307026,54804604.1385948,48029-4091
357.4865488086088,47271637.9707917,48029-2124
